Designator,Mid X,Mid Y,Rotation,Layer
J1,22.49,-32.495,0.0,top
J10,71.227619,-28.235,180.0,top
J2,7.25,-32.495,0.0,top
J3,37.3,-6.1,180.0,top
J4,26.125,-23.3,0.0,top
J5,29.685,-23.3,0.0,top
J6,26.15,-35.925,0.0,top
J7,29.725,-35.925,0.0,top
J8,3.525,-31.98,0.0,top
J9,3.625,-43.85,0.0,top
R1,44.72,-3.56,270.0,top
R2,49.32,-3.56,270.0,top
R3,47.02,-3.56,270.0,top
RV1,53.6,-50.335,0.0,top
RV2,48.2,-50.415,0.0,top
RV3,53.6,-43.065,180.0,top
RV4,48.2,-43.065,180.0,top
U1,35.72,-23.29,180.0,top
U2,35.76,-34.49,180.0,top
U3,62.8,-45.3,270.0,top
U4,53.5,-30.73,270.0,top
U5,60.42,-16.99,270.0,top
U6,50.47,-17.0,270.0,top
