Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0805,4,C10µF_0805,
"C5, C7",0805,2,C0.100µF_0805,
"C6, C8",0805,2,C0.0.1µF_0805,
D1,D_SOD-123F,1,SS24FL,
"D2, D4, D6, D7",0805,4,"
LG R971-KN1",
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J10,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
J3,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,power,
J4,CON_527460871_MOL,1,527460871,
L1,IND_BOURNS_RLB0914,1,RLB0914-37µH,
R1,1206,1,R125m_1206,
"R10, R11, R6, R8",1206,4,150ohms,
"R2, R3",1206,2,7kohms,
"R4, R5",1206,2,10kohms,
"U1, U2",TSOT26-P7_DIO,2,AP22615AWU-7,
V1,TSOT25_WT_DIO,1,AL8860WT,
